F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,Resampling
0.7732,0.7888,0.7604,0.7964,RF,401,,True,False
0.7732,0.7888,0.7604,0.7964,RF,401,StandardScaler,True,False
0.774,0.7896,0.7612,0.7972,RF,401,Min-maxScaler,True,False
0.7737,0.7895,0.7608,0.797,RF,401,Max-absoluteScaler,True,False
0.7732,0.7888,0.7604,0.7964,RF,401,RobustScaler,True,False
0.7758,0.7913,0.7633,0.7987,RF,401,PowerTransformer,True,False
0.7715,0.7852,0.7604,0.7943,RF,401,QuantileTransformer_Uniform,True,False
0.7723,0.786,0.7613,0.795,RF,401,QuantileTransformer_Normal,True,False
0.6,0.6405,0.6646,0.6399,MLP,401,,True,False
0.7258,0.739,0.7154,0.7534,MLP,401,StandardScaler,True,False
0.7199,0.7344,0.7092,0.7487,MLP,401,Min-maxScaler,True,False
0.715,0.7289,0.705,0.7437,MLP,401,Max-absoluteScaler,True,False
0.7213,0.7483,0.6987,0.7534,MLP,401,RobustScaler,True,False
0.7491,0.757,0.7446,0.7723,MLP,401,PowerTransformer,True,False
0.7384,0.7482,0.7317,0.7635,MLP,401,QuantileTransformer_Uniform,True,False
0.748,0.7434,0.755,0.7677,MLP,401,QuantileTransformer_Normal,True,False
0.0,0.0,0.0,0.5435,SVM,401,,True,False
0.7462,0.7824,0.7159,0.7779,SVM,401,StandardScaler,True,False
0.4165,0.878,0.2758,0.651,SVM,401,Min-maxScaler,True,False
0.3811,0.8921,0.2454,0.641,SVM,401,Max-absoluteScaler,True,False
0.7419,0.7524,0.7341,0.767,SVM,401,RobustScaler,True,False
0.7809,0.7937,0.7712,0.8024,SVM,401,PowerTransformer,True,False
0.778,0.7711,0.7875,0.795,SVM,401,QuantileTransformer_Uniform,True,False
0.7429,0.7883,0.7046,0.7773,SVM,401,QuantileTransformer_Normal,True,False
0.7209,0.7762,0.675,0.7625,KNN,401,,True,False
0.7317,0.7283,0.7384,0.7529,KNN,401,StandardScaler,True,False
0.7128,0.7178,0.7113,0.7389,KNN,401,Min-maxScaler,True,False
0.7138,0.732,0.7009,0.7445,KNN,401,Max-absoluteScaler,True,False
0.7419,0.7371,0.75,0.7618,KNN,401,RobustScaler,True,False
0.7686,0.7479,0.7934,0.7822,KNN,401,PowerTransformer,True,False
0.7688,0.7626,0.7771,0.7867,KNN,401,QuantileTransformer_Uniform,True,False
0.7587,0.7375,0.783,0.7731,KNN,401,QuantileTransformer_Normal,True,False
0.4986,0.4314,0.7446,0.4744,LGR,401,,True,False
0.6904,0.7121,0.6782,0.7224,LGR,401,StandardScaler,True,False
0.684,0.7524,0.6775,0.7297,LGR,401,Min-maxScaler,True,False
0.6899,0.7533,0.685,0.7314,LGR,401,Max-absoluteScaler,True,False
0.7025,0.7033,0.7066,0.7281,LGR,401,RobustScaler,True,False
0.703,0.7132,0.6966,0.7331,LGR,401,PowerTransformer,True,False
0.6591,0.7387,0.6729,0.723,LGR,401,QuantileTransformer_Uniform,True,False
