F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,Resampling
0.7774,0.7884,0.7695,0.799,RF,401,,False,False
0.7774,0.7887,0.7691,0.799,RF,401,StandardScaler,False,False
0.7772,0.7883,0.7691,0.7988,RF,401,Min-maxScaler,False,False
0.7774,0.7886,0.7691,0.799,RF,401,Max-absoluteScaler,False,False
0.7778,0.7891,0.7695,0.7994,RF,401,RobustScaler,False,False
0.7753,0.7884,0.7654,0.7976,RF,401,PowerTransformer,False,False
0.7756,0.7877,0.7666,0.7975,RF,401,QuantileTransformer_Uniform,False,False
0.7759,0.7872,0.7674,0.7976,RF,401,QuantileTransformer_Normal,False,False
0.7718,0.7238,0.8351,0.7751,RF,401,Normalisation,False,False
0.6857,0.7201,0.7567,0.7205,MLP,401,,False,False
0.7229,0.7449,0.705,0.7535,MLP,401,StandardScaler,False,False
0.7133,0.7276,0.7029,0.7427,MLP,401,Min-maxScaler,False,False
0.7115,0.7228,0.7033,0.7401,MLP,401,Max-absoluteScaler,False,False
0.7208,0.7487,0.6979,0.7537,MLP,401,RobustScaler,False,False
0.7387,0.7472,0.7333,0.7632,MLP,401,PowerTransformer,False,False
0.7378,0.7461,0.7321,0.7625,MLP,401,QuantileTransformer_Uniform,False,False
0.7398,0.7339,0.7483,0.7599,MLP,401,QuantileTransformer_Normal,False,False
0.715,0.665,0.79,0.7143,MLP,401,Normalisation,False,False
0.0,0.0,0.0,0.5435,SVM,401,,False,False
0.7453,0.7742,0.7211,0.7755,SVM,401,StandardScaler,False,False
0.432,0.8757,0.29,0.6564,SVM,401,Min-maxScaler,False,False
0.3924,0.8863,0.255,0.6441,SVM,401,Max-absoluteScaler,False,False
0.7466,0.7618,0.7341,0.7726,SVM,401,RobustScaler,False,False
0.7776,0.7926,0.7662,0.7998,SVM,401,PowerTransformer,False,False
0.7765,0.7698,0.7858,0.7935,SVM,401,QuantileTransformer_Uniform,False,False
0.742,0.7873,0.7038,0.7766,SVM,401,QuantileTransformer_Normal,False,False
0.077,0.9159,0.0404,0.5604,SVM,401,Normalisation,False,False
0.7209,0.7762,0.675,0.7625,KNN,401,,False,False
0.7338,0.7086,0.7638,0.7468,KNN,401,StandardScaler,False,False
0.7106,0.7006,0.7241,0.7306,KNN,401,Min-maxScaler,False,False
0.7089,0.7112,0.7117,0.7335,KNN,401,Max-absoluteScaler,False,False
0.7413,0.7299,0.7566,0.7589,KNN,401,RobustScaler,False,False
0.768,0.745,0.7955,0.7806,KNN,401,PowerTransformer,False,False
0.7744,0.762,0.7896,0.79,KNN,401,QuantileTransformer_Uniform,False,False
0.7501,0.7178,0.7887,0.7603,KNN,401,QuantileTransformer_Normal,False,False
0.7601,0.7219,0.8071,0.7676,KNN,401,Normalisation,False,False
0.4986,0.4314,0.7446,0.4744,LGR,401,,False,False
0.6914,0.6971,0.6929,0.7185,LGR,401,StandardScaler,False,False
0.6955,0.7294,0.6992,0.7319,LGR,401,Min-maxScaler,False,False
0.6811,0.7575,0.6542,0.7329,LGR,401,Max-absoluteScaler,False,False
0.7134,0.7106,0.7208,0.7369,LGR,401,RobustScaler,False,False
0.6947,0.7137,0.6826,0.7294,LGR,401,PowerTransformer,False,False
0.6959,0.7368,0.6933,0.7425,LGR,401,QuantileTransformer_Uniform,False,False
0.6838,0.7261,0.6946,0.7239,LGR,401,QuantileTransformer_Normal,False,False
0.7498,0.6557,0.8892,0.7269,LGR,401,Normalisation,False,False
0.6983,0.6975,0.7029,0.7238,DT,401,,False,False
0.6995,0.6985,0.7041,0.7247,DT,401,StandardScaler,False,False
