F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,Resampling
0.7802,0.7864,0.7771,0.8002,RF,401,,True,True
0.7798,0.7853,0.7775,0.7995,RF,401,StandardScaler,True,True
0.7795,0.7857,0.7766,0.7996,RF,401,Min-maxScaler,True,True
0.7805,0.787,0.7775,0.8005,RF,401,Max-absoluteScaler,True,True
0.7797,0.7851,0.7775,0.7995,RF,401,RobustScaler,True,True
0.78,0.786,0.7771,0.7999,RF,401,PowerTransformer,True,True
0.7786,0.7844,0.7762,0.7986,RF,401,QuantileTransformer_Uniform,True,True
0.7789,0.783,0.7779,0.7984,RF,401,QuantileTransformer_Normal,True,True
0.6667,0.6147,0.8171,0.6355,MLP,401,,True,True
0.7274,0.7382,0.72,0.7538,MLP,401,StandardScaler,True,True
0.7246,0.7368,0.7163,0.7516,MLP,401,Min-maxScaler,True,True
0.7292,0.7413,0.7225,0.7553,MLP,401,Max-absoluteScaler,True,True
0.7203,0.7428,0.7021,0.7515,MLP,401,RobustScaler,True,True
0.7483,0.754,0.7459,0.7711,MLP,401,PowerTransformer,True,True
0.7449,0.7542,0.7408,0.7691,MLP,401,QuantileTransformer_Uniform,True,True
0.749,0.7442,0.7567,0.7685,MLP,401,QuantileTransformer_Normal,True,True
0.0,0.0,0.0,0.5435,SVM,401,,True,True
0.7543,0.758,0.7533,0.7762,SVM,401,StandardScaler,True,True
0.6408,0.8406,0.5255,0.7356,SVM,401,Min-maxScaler,True,True
0.5793,0.8577,0.4437,0.7113,SVM,401,Max-absoluteScaler,True,True
0.746,0.7407,0.7533,0.7658,SVM,401,RobustScaler,True,True
0.7794,0.773,0.7887,0.7961,SVM,401,PowerTransformer,True,True
0.7828,0.7634,0.8054,0.7961,SVM,401,QuantileTransformer_Uniform,True,True
0.7441,0.7766,0.7163,0.775,SVM,401,QuantileTransformer_Normal,True,True
0.733,0.7478,0.7212,0.761,KNN,401,,True,True
0.7406,0.7041,0.7845,0.7487,KNN,401,StandardScaler,True,True
0.7229,0.6855,0.7678,0.7312,KNN,401,Min-maxScaler,True,True
0.7244,0.6984,0.7558,0.7377,KNN,401,Max-absoluteScaler,True,True
0.7453,0.707,0.7913,0.7529,KNN,401,RobustScaler,True,True
0.7699,0.7189,0.8313,0.7732,KNN,401,PowerTransformer,True,True
0.7691,0.7375,0.8055,0.7793,KNN,401,QuantileTransformer_Uniform,True,True
0.7578,0.7077,0.8175,0.7612,KNN,401,QuantileTransformer_Normal,True,True
0.5641,0.4325,0.8458,0.4762,LGR,401,,True,True
0.6918,0.6903,0.7029,0.7128,LGR,401,StandardScaler,True,True
0.7071,0.7534,0.7071,0.7397,LGR,401,Min-maxScaler,True,True
0.6986,0.7575,0.6858,0.7384,LGR,401,Max-absoluteScaler,True,True
0.7084,0.7033,0.717,0.7321,LGR,401,RobustScaler,True,True
0.7004,0.7057,0.6987,0.7279,LGR,401,PowerTransformer,True,True
0.6862,0.7517,0.6713,0.739,LGR,401,QuantileTransformer_Uniform,True,True
0.7066,0.691,0.7495,0.7255,LGR,401,QuantileTransformer_Normal,True,True
0.7037,0.6957,0.715,0.7259,DT,401,,True,True
0.7042,0.6961,0.7155,0.7263,DT,401,StandardScaler,True,True
0.7042,0.6966,0.715,0.7265,DT,401,Min-maxScaler,True,True
