R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Var_Threshold
-1.5897,126.9662,229.7383,69.2649,R,388,RobustScaler,FALSE
0.111,98.6759,135.5143,76.6792,R,388,PowerTransformer,FALSE
0.2779,83.9409,122.936,59.5005,R,388,QuantileTransformer_Uniform,FALSE
0.0336,102.3123,141.0428,78.2026,R,388,QuantileTransformer_Normal,FALSE
0.0866,90.1829,137.2886,62.4249,R,388,Normalisation,FALSE
0.2889,72.0414,121.617,34.8389,XGB,388,,FALSE
0.2907,71.9586,121.4678,34.7537,XGB,388,StandardScaler,FALSE
0.2908,71.9319,121.4415,34.7779,XGB,388,Min-maxScaler,FALSE
0.2917,71.8842,121.3585,34.7743,XGB,388,Max-absoluteScaler,FALSE
0.2891,72.0151,121.5988,34.8046,XGB,388,RobustScaler,FALSE
0.2873,72.1814,121.7325,34.8756,XGB,388,PowerTransformer,FALSE
0.2844,72.3695,121.9309,34.7941,XGB,388,QuantileTransformer_Uniform,FALSE
0.2874,72.1065,121.6516,34.8173,XGB,388,QuantileTransformer_Normal,FALSE
-0.1952,102.913,154.9535,65.3388,XGB,388,Normalisation,FALSE
-0.3412,84.4013,167.6665,17.5,GPC,388,,FALSE
-0.3412,84.3793,167.6622,17.4648,GPC,388,StandardScaler,FALSE
0.0134,84.5369,144.0117,44.3749,GPC,388,Min-maxScaler,FALSE
0.0049,85.6404,144.6016,46.0984,GPC,388,Max-absoluteScaler,FALSE
-0.3412,84.3999,167.6663,17.5,GPC,388,RobustScaler,FALSE
-0.3407,84.3628,167.6194,17.5,GPC,388,PowerTransformer,FALSE
-0.2372,80.1135,161.2709,16.2726,GPC,388,QuantileTransformer_Uniform,FALSE
-0.3412,84.3862,167.6641,17.5,GPC,388,QuantileTransformer_Normal,FALSE
-8.245,332.5424,415.3673,288.3955,GPC,388,Normalisation,FALSE
0.2609,94.4903,124.3796,73.3984,ADA,388,,FALSE
0.2634,94.2095,124.0487,71.6125,ADA,388,StandardScaler,FALSE
0.2677,94.0098,123.7282,72.2769,ADA,388,Min-maxScaler,FALSE
0.2715,93.6215,123.4614,71.5177,ADA,388,Max-absoluteScaler,FALSE
0.2672,94.2661,123.8426,72.738,ADA,388,RobustScaler,FALSE
0.2537,95.2238,124.9385,73.8349,ADA,388,PowerTransformer,FALSE
0.2598,94.69,124.4272,73.2601,ADA,388,QuantileTransformer_Uniform,FALSE
0.2601,94.5468,124.3747,72.3199,ADA,388,QuantileTransformer_Normal,FALSE
0.0064,114.6649,142.3877,96.6863,ADA,388,Normalisation,FALSE
0.3078,74.5382,120.4645,39.6029,GB,388,,FALSE
0.3083,74.5093,120.4193,39.6179,GB,388,StandardScaler,FALSE
0.3073,74.5937,120.5096,39.7435,GB,388,Min-maxScaler,FALSE
0.3072,74.591,120.5131,39.7809,GB,388,Max-absoluteScaler,FALSE
0.3075,74.5825,120.4923,39.62,GB,388,RobustScaler,FALSE
0.3103,74.2673,120.2548,39.5441,GB,388,PowerTransformer,FALSE
0.3057,74.7416,120.6381,39.8369,GB,388,QuantileTransformer_Uniform,FALSE
0.3093,74.4771,120.3343,39.4827,GB,388,QuantileTransformer_Normal,FALSE
-0.2986,116.1684,161.2285,82.026,GB,388,Normalisation,FALSE
