R-square,MAE,RSME,MedAE,Model,Num_Features,Preprocessing,Var_Threshold
0.3139,74.8876,120.0344,42.1191,RF,388,,FALSE
0.3135,74.9234,120.068,42.2373,RF,388,StandardScaler,FALSE
0.3136,74.9173,120.0576,42.1945,RF,388,Min-maxScaler,FALSE
0.3139,74.8927,120.0299,42.1217,RF,388,Max-absoluteScaler,FALSE
0.3136,74.8984,120.0506,42.1063,RF,388,RobustScaler,FALSE
0.3128,74.9834,120.1255,42.2959,RF,388,PowerTransformer,FALSE
0.315,74.8911,119.9407,42.0604,RF,388,QuantileTransformer_Uniform,FALSE
0.3152,74.8151,119.9176,41.9932,RF,388,QuantileTransformer_Normal,FALSE
-0.2402,125.1565,157.3403,107.0686,RF,388,Normalisation,FALSE
-77670.7119,7987.0963,32130.8682,1231.8662,MLP,388,,FALSE
-21.8087,146.4271,328.4456,81.0869,MLP,388,StandardScaler,FALSE
-2.3351,135.1713,241.9605,83.4027,MLP,388,Min-maxScaler,FALSE
-1.7773,133.7411,227.4137,80.5553,MLP,388,Max-absoluteScaler,FALSE
-1.7448,129.2559,226.1942,75.5277,MLP,388,RobustScaler,FALSE
-0.1745,113.0704,154.6933,84.9655,MLP,388,PowerTransformer,FALSE
0.021,101.9557,141.6634,74.3098,MLP,388,QuantileTransformer_Uniform,FALSE
-0.1065,107.5499,150.3798,77.9755,MLP,388,QuantileTransformer_Normal,FALSE
-4.1539,228.9392,316.9495,170.7957,MLP,388,Normalisation,FALSE
-0.2145,79.89,159.647,16.3375,SVM,388,,FALSE
-0.1784,75.8463,157.2622,12.6027,SVM,388,StandardScaler,FALSE
-0.2086,79.3535,159.2478,15.527,SVM,388,Min-maxScaler,FALSE
-0.2087,79.3874,159.2554,15.6285,SVM,388,Max-absoluteScaler,FALSE
-0.1861,77.3535,157.7586,15.8858,SVM,388,RobustScaler,FALSE
-0.1173,72.5118,153.1758,12.5706,SVM,388,PowerTransformer,FALSE
-0.1424,73.9497,154.8777,12.2835,SVM,388,QuantileTransformer_Uniform,FALSE
-0.1846,76.9321,157.6985,12.9021,SVM,388,QuantileTransformer_Normal,FALSE
-0.2122,79.7643,159.4985,16.2612,SVM,388,Normalisation,FALSE
0.1823,80.0338,130.7871,48.2963,KNN,388,,FALSE
0.2203,82.3731,127.8928,54.7512,KNN,388,StandardScaler,FALSE
0.1873,85.8954,130.5927,58.5975,KNN,388,Min-maxScaler,FALSE
0.1832,86.2603,130.9077,58.9237,KNN,388,Max-absoluteScaler,FALSE
0.2301,79.8745,126.8422,51.71,KNN,388,RobustScaler,FALSE
0.2753,79.8611,123.3132,51.53,KNN,388,PowerTransformer,FALSE
0.2754,79.0656,122.8262,50.8837,KNN,388,QuantileTransformer_Uniform,FALSE
0.2294,82.0727,127.0238,54.2737,KNN,388,QuantileTransformer_Normal,FALSE
0.2639,76.9494,124.2252,43.4325,KNN,388,Normalisation,FALSE
-4.15,227.5841,319.3467,125.8875,LGR,388,,FALSE
0.0536,70.6757,140.1574,13.775,LGR,388,StandardScaler,FALSE
-0.127,75.975,153.7376,14.25,LGR,388,Min-maxScaler,FALSE
-0.1252,75.995,153.5777,14.625,LGR,388,Max-absoluteScaler,FALSE
-0.0197,73.5653,145.3884,15.55,LGR,388,RobustScaler,FALSE
0.0957,69.7097,137.2926,14,LGR,388,PowerTransformer,FALSE
0.055,69.1977,140.16,13.4875,LGR,388,QuantileTransformer_Uniform,FALSE
-0.0528,74.1197,146.7554,15.525,LGR,388,QuantileTransformer_Normal,FALSE
-0.1763,78.4499,156.6536,15.5125,LGR,388,Normalisation,FALSE
-0.2768,89.8513,161.5272,27.4625,DT,388,,FALSE
-0.2731,89.7276,161.338,27.275,DT,388,StandardScaler,FALSE
-0.2743,89.7891,161.3542,27.3625,DT,388,Min-maxScaler,FALSE
-0.2724,89.7966,161.3177,27.3375,DT,388,Max-absoluteScaler,FALSE
-0.2742,89.7976,161.3407,27.325,DT,388,RobustScaler,FALSE
-0.2834,90.515,162.2983,27.225,DT,388,PowerTransformer,FALSE
-0.2706,89.9238,161.5236,27.4875,DT,388,QuantileTransformer_Uniform,FALSE
-0.2322,88.9262,159.2238,27.45,DT,388,QuantileTransformer_Normal,FALSE
-3.0227,170.1308,271.4644,91.075,DT,388,Normalisation,FALSE
-2026.7623,2628.4434,5320.4712,1793.4929,R,388,,FALSE
-1.0056,111.5986,196.3327,67.1009,R,388,StandardScaler,FALSE
0.1764,81.6941,131.2294,52.9849,R,388,Min-maxScaler,FALSE
0.1733,81.6899,131.4504,53.0872,R,388,Max-absoluteScaler,FALSE
