F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,resampling
0.7785,0.7823,0.7775,0.7982,RF,495,,False,True
0.7778,0.7816,0.7771,0.7976,RF,495,StandardScaler,False,True
0.7778,0.7819,0.7767,0.7976,RF,495,Min-maxScaler,False,True
0.7777,0.7822,0.7763,0.7976,RF,495,Max-absoluteScaler,False,True
0.778,0.7812,0.7775,0.7976,RF,495,RobustScaler,False,True
0.7771,0.7828,0.7746,0.7974,RF,495,PowerTransformer,False,True
0.7773,0.7816,0.7763,0.7973,RF,495,QuantileTransformer_Uniform,False,True
0.7764,0.7791,0.7771,0.796,RF,495,QuantileTransformer_Normal,False,True
0.7689,0.7343,0.8159,0.7766,RF,495,Normalisation,False,True
0.665,0.6569,0.8108,0.6703,MLP,495,,False,True
0.7439,0.7502,0.7408,0.7675,MLP,495,StandardScaler,False,True
0.7293,0.7311,0.7304,0.7533,MLP,495,Min-maxScaler,False,True
0.7332,0.7334,0.7359,0.7559,MLP,495,Max-absoluteScaler,False,True
0.7373,0.7561,0.7229,0.7655,MLP,495,RobustScaler,False,True
0.7575,0.7565,0.7617,0.7778,MLP,495,PowerTransformer,False,True
0.7457,0.7497,0.745,0.7682,MLP,495,QuantileTransformer_Uniform,False,True
0.7499,0.7463,0.7566,0.7696,MLP,495,QuantileTransformer_Normal,False,True
0.7076,0.6703,0.76,0.7161,MLP,495,Normalisation,False,True
0.0,0.0,0.0,0.5435,SVM,495,,False,True
0.7583,0.7711,0.7488,0.7826,SVM,495,StandardScaler,False,True
0.7079,0.8082,0.6421,0.764,SVM,495,Min-maxScaler,False,True
0.6589,0.8297,0.5579,0.7431,SVM,495,Max-absoluteScaler,False,True
0.7559,0.7597,0.7541,0.7778,SVM,495,RobustScaler,False,True
0.773,0.7758,0.773,0.793,SVM,495,PowerTransformer,False,True
0.783,0.7632,0.8058,0.7961,SVM,495,QuantileTransformer_Uniform,False,True
0.7469,0.7983,0.705,0.7825,SVM,495,QuantileTransformer_Normal,False,True
0.3477,0.9093,0.2184,0.6336,SVM,495,Normalisation,False,True
0.733,0.7478,0.7213,0.761,KNN,495,,False,True
0.7225,0.6293,0.852,0.7004,KNN,495,StandardScaler,False,True
0.7111,0.6402,0.8042,0.7012,KNN,495,Min-maxScaler,False,True
0.7021,0.635,0.7904,0.6936,KNN,495,Max-absoluteScaler,False,True
0.7392,0.6951,0.7925,0.7443,KNN,495,RobustScaler,False,True
0.765,0.6802,0.8779,0.7533,KNN,495,PowerTransformer,False,True
