F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,resampling
0.7743,0.7894,0.7628,0.7973,RF,495,,True,False
0.7743,0.7882,0.7637,0.7969,RF,495,StandardScaler,True,False
0.7741,0.7884,0.7632,0.7969,RF,495,Min-maxScaler,True,False
0.7746,0.7888,0.7637,0.7973,RF,495,Max-absoluteScaler,True,False
0.7747,0.7888,0.7641,0.7973,RF,495,RobustScaler,True,False
0.7745,0.7885,0.7636,0.7969,RF,495,PowerTransformer,True,False
0.7737,0.7876,0.7632,0.7963,RF,495,QuantileTransformer_Uniform,True,False
0.7741,0.7873,0.7641,0.7965,RF,495,QuantileTransformer_Normal,True,False
0.6349,0.48,0.967,0.4932,MLP,495,,True,False
0.735,0.7474,0.7267,0.7611,MLP,495,StandardScaler,True,False
0.7223,0.7369,0.7125,0.7504,MLP,495,Min-maxScaler,True,False
0.7224,0.7325,0.7162,0.7493,MLP,495,Max-absoluteScaler,True,False
0.7258,0.7441,0.7113,0.755,MLP,495,RobustScaler,True,False
0.7481,0.7515,0.7476,0.7703,MLP,495,PowerTransformer,True,False
0.7383,0.7452,0.7345,0.7624,MLP,495,QuantileTransformer_Uniform,True,False
0.7482,0.7483,0.7504,0.7692,MLP,495,QuantileTransformer_Normal,True,False
0.0,0.0,0.0,0.5435,SVM,495,,True,False
0.748,0.7808,0.7204,0.7787,SVM,495,StandardScaler,True,False
0.4155,0.8776,0.275,0.6507,SVM,495,Min-maxScaler,True,False
0.38,0.8921,0.2445,0.6406,SVM,495,Max-absoluteScaler,True,False
0.7414,0.7481,0.7371,0.7656,SVM,495,RobustScaler,True,False
0.7811,0.7939,0.7716,0.8024,SVM,495,PowerTransformer,True,False
0.778,0.7711,0.7875,0.795,SVM,495,QuantileTransformer_Uniform,True,False
0.7432,0.7903,0.7034,0.7781,SVM,495,QuantileTransformer_Normal,True,False
0.7209,0.7762,0.675,0.7625,KNN,495,,True,False
0.7328,0.7358,0.7333,0.7559,KNN,495,StandardScaler,True,False
0.7117,0.7236,0.7037,0.7404,KNN,495,Min-maxScaler,True,False
0.7131,0.7372,0.695,0.746,KNN,495,Max-absoluteScaler,True,False
0.735,0.7449,0.7292,0.7602,KNN,495,RobustScaler,True,False
0.7697,0.7509,0.7921,0.7839,KNN,495,PowerTransformer,True,False
0.7672,0.7624,0.7742,0.7855,KNN,495,QuantileTransformer_Uniform,True,False
0.7592,0.7384,0.7829,0.7736,KNN,495,QuantileTransformer_Normal,True,False
0.4986,0.4314,0.7446,0.4744,LGR,495,,True,False
0.6881,0.6937,0.6883,0.7152,LGR,495,StandardScaler,True,False
0.6987,0.7621,0.68,0.7427,LGR,495,Min-maxScaler,True,False
0.6879,0.7696,0.6588,0.7408,LGR,495,Max-absoluteScaler,True,False
0.7087,0.7125,0.7104,0.7356,LGR,495,RobustScaler,True,False
0.7073,0.7152,0.7042,0.7362,LGR,495,PowerTransformer,True,False
0.6858,0.7243,0.6979,0.7393,LGR,495,QuantileTransformer_Uniform,True,False
0.696,0.7155,0.7091,0.7251,LGR,495,QuantileTransformer_Normal,True,False
