F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,resampling
0.7778,0.7832,0.7758,0.7981,RF,495,,True,True
0.7785,0.7833,0.7771,0.7985,RF,495,StandardScaler,True,True
0.7783,0.7833,0.7766,0.7985,RF,495,Min-maxScaler,True,True
0.7785,0.7837,0.7766,0.7987,RF,495,Max-absoluteScaler,True,True
0.7782,0.784,0.7758,0.7985,RF,495,RobustScaler,True,True
0.7773,0.781,0.7771,0.7971,RF,495,PowerTransformer,True,True
0.7777,0.783,0.7758,0.7979,RF,495,QuantileTransformer_Uniform,True,True
0.7764,0.78,0.7758,0.7964,RF,495,QuantileTransformer_Normal,True,True
0.6561,0.5209,0.942,0.5468,MLP,495,,True,True
0.7323,0.7422,0.7263,0.7576,MLP,495,StandardScaler,True,True
0.7268,0.7306,0.7267,0.7508,MLP,495,Min-maxScaler,True,True
0.7279,0.7358,0.7258,0.7528,MLP,495,Max-absoluteScaler,True,True
0.7224,0.7372,0.7108,0.7509,MLP,495,RobustScaler,True,True
0.7471,0.7516,0.7459,0.7695,MLP,495,PowerTransformer,True,True
0.7415,0.7511,0.7358,0.7664,MLP,495,QuantileTransformer_Uniform,True,True
0.7457,0.7432,0.7504,0.7662,MLP,495,QuantileTransformer_Normal,True,True
0.0,0.0,0.0,0.5435,SVM,495,,True,True
0.7552,0.7598,0.7532,0.7774,SVM,495,StandardScaler,True,True
0.6397,0.8413,0.5238,0.7352,SVM,495,Min-maxScaler,True,True
0.5791,0.8577,0.4433,0.711,SVM,495,Max-absoluteScaler,True,True
0.7422,0.7358,0.7508,0.7624,SVM,495,RobustScaler,True,True
0.7795,0.7735,0.7883,0.7963,SVM,495,PowerTransformer,True,True
0.7832,0.7646,0.805,0.7966,SVM,495,QuantileTransformer_Uniform,True,True
0.7429,0.7755,0.715,0.7741,SVM,495,QuantileTransformer_Normal,True,True
0.733,0.7478,0.7213,0.761,KNN,495,,True,True
0.7416,0.7089,0.7812,0.7512,KNN,495,StandardScaler,True,True
0.722,0.6891,0.7612,0.7323,KNN,495,Min-maxScaler,True,True
0.7257,0.7046,0.7517,0.7409,KNN,495,Max-absoluteScaler,True,True
0.7407,0.7065,0.7821,0.7496,KNN,495,RobustScaler,True,True
0.7718,0.7214,0.8326,0.7754,KNN,495,PowerTransformer,True,True
0.768,0.7367,0.8043,0.7784,KNN,495,QuantileTransformer_Uniform,True,True
0.7578,0.7091,0.8158,0.7617,KNN,495,QuantileTransformer_Normal,True,True
0.5641,0.4325,0.8458,0.4761,LGR,495,,True,True
0.693,0.703,0.6888,0.7215,LGR,495,StandardScaler,True,True
0.7108,0.7379,0.7267,0.7376,LGR,495,Min-maxScaler,True,True
0.7109,0.7363,0.7333,0.7337,LGR,495,Max-absoluteScaler,True,True
0.7143,0.7075,0.7258,0.7354,LGR,495,RobustScaler,True,True
0.7196,0.7239,0.7195,0.7454,LGR,495,PowerTransformer,True,True
0.6831,0.7452,0.6746,0.7371,LGR,495,QuantileTransformer_Uniform,True,True
0.7011,0.7111,0.7142,0.7267,LGR,495,QuantileTransformer_Normal,True,True
0.711,0.7066,0.7197,0.7341,DT,495,,True,True
0.7111,0.7061,0.72,0.7341,DT,495,StandardScaler,True,True
0.7119,0.7076,0.7205,0.735,DT,495,Min-maxScaler,True,True
0.7117,0.7073,0.7205,0.7348,DT,495,Max-absoluteScaler,True,True
0.7115,0.7072,0.72,0.7346,DT,495,RobustScaler,True,True
0.7038,0.7007,0.71,0.728,DT,495,PowerTransformer,True,True
0.7117,0.7066,0.7208,0.7346,DT,495,QuantileTransformer_Uniform,True,True
0.7116,0.7059,0.7212,0.7342,DT,495,QuantileTransformer_Normal,True,True
0.5161,0.6362,0.53,0.5248,R,495,,True,True
0.7168,0.7385,0.6987,0.7482,R,495,StandardScaler,True,True
0.7538,0.7414,0.77,0.7708,R,495,Min-maxScaler,True,True
0.7447,0.7465,0.7458,0.7672,R,495,Max-absoluteScaler,True,True
0.6826,0.7255,0.6471,0.7258,R,495,RobustScaler,True,True
0.7332,0.7203,0.75,0.7506,R,495,PowerTransformer,True,True
0.7777,0.7683,0.7899,0.7937,R,495,QuantileTransformer_Uniform,True,True
0.7081,0.6879,0.7333,0.7242,R,495,QuantileTransformer_Normal,True,True
0.7708,0.7762,0.7687,0.7918,XG,495,,True,True
0.7711,0.7763,0.7691,0.792,XG,495,StandardScaler,True,True
0.7708,0.7762,0.7687,0.7918,XG,495,Min-maxScaler,True,True
0.7711,0.7763,0.7691,0.792,XG,495,Max-absoluteScaler,True,True
0.7708,0.7762,0.7687,0.7918,XG,495,RobustScaler,True,True
0.7708,0.7762,0.7687,0.7918,XG,495,PowerTransformer,True,True
0.7707,0.7758,0.7687,0.7916,XG,495,QuantileTransformer_Uniform,True,True
0.7707,0.7758,0.7687,0.7916,XG,495,QuantileTransformer_Normal,True,True
0.0,0.0,0.0,0.5435,GPC,495,,True,True
0.6815,0.6888,0.6762,0.7116,GPC,495,StandardScaler,True,True
0.7588,0.7438,0.7766,0.775,GPC,495,Min-maxScaler,True,True
0.7555,0.7462,0.7679,0.7738,GPC,495,Max-absoluteScaler,True,True
0.614,0.656,0.58,0.6673,GPC,495,RobustScaler,True,True
0.7208,0.6896,0.7574,0.7321,GPC,495,PowerTransformer,True,True
0.7602,0.7054,0.8254,0.7624,GPC,495,QuantileTransformer_Uniform,True,True
0.7109,0.6791,0.7483,0.7219,GPC,495,QuantileTransformer_Normal,True,True
0.7553,0.7456,0.7679,0.7731,ADA,495,,True,True
0.7553,0.7456,0.7679,0.7731,ADA,495,StandardScaler,True,True
0.7552,0.7456,0.7679,0.7731,ADA,495,Min-maxScaler,True,True
0.7552,0.7456,0.7679,0.7731,ADA,495,Max-absoluteScaler,True,True
0.7553,0.7456,0.7679,0.7731,ADA,495,RobustScaler,True,True
0.7551,0.7453,0.7679,0.773,ADA,495,PowerTransformer,True,True
0.7557,0.7461,0.7683,0.7735,ADA,495,QuantileTransformer_Uniform,True,True
0.7559,0.7463,0.7683,0.7737,ADA,495,QuantileTransformer_Normal,True,True
0.7691,0.778,0.763,0.791,GB,495,,True,True
