F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Var_Threshold,resampling
0.6441,0.6359,0.6563,0.6689,GPC,495,StandardScaler,False,False
0.7482,0.741,0.7587,0.7675,GPC,495,Min-maxScaler,False,False
0.7449,0.7447,0.7483,0.7668,GPC,495,Max-absoluteScaler,False,False
0.6067,0.6503,0.5713,0.663,GPC,495,RobustScaler,False,False
0.7147,0.6671,0.7725,0.7185,GPC,495,PowerTransformer,False,False
0.7565,0.7049,0.8179,0.76,GPC,495,QuantileTransformer_Uniform,False,False
0.7028,0.66,0.7546,0.7087,GPC,495,QuantileTransformer_Normal,False,False
0.7795,0.7291,0.8404,0.7828,GPC,495,Normalisation,False,False
0.7372,0.7334,0.7454,0.7584,ADA,495,,False,False
0.7374,0.7335,0.7459,0.7586,ADA,495,StandardScaler,False,False
0.737,0.7331,0.7454,0.7583,ADA,495,Min-maxScaler,False,False
0.737,0.7331,0.7454,0.7583,ADA,495,Max-absoluteScaler,False,False
0.7372,0.7334,0.7454,0.7584,ADA,495,RobustScaler,False,False
0.7375,0.7338,0.7459,0.7588,ADA,495,PowerTransformer,False,False
0.7377,0.7336,0.7463,0.7588,ADA,495,QuantileTransformer_Uniform,False,False
0.7377,0.7336,0.7463,0.7588,ADA,495,QuantileTransformer_Normal,False,False
0.7152,0.7019,0.7712,0.7301,ADA,495,Normalisation,False,False
0.7685,0.7789,0.7612,0.7909,GB,495,,False,False
0.7692,0.7794,0.762,0.7914,GB,495,StandardScaler,False,False
0.7685,0.7789,0.7612,0.7909,GB,495,Min-maxScaler,False,False
0.7682,0.7788,0.7608,0.7907,GB,495,Max-absoluteScaler,False,False
0.7682,0.7788,0.7608,0.7907,GB,495,RobustScaler,False,False
0.7689,0.7798,0.7608,0.7916,GB,495,PowerTransformer,False,False
0.7689,0.778,0.7629,0.7909,GB,495,QuantileTransformer_Uniform,False,False
0.7678,0.7766,0.762,0.7897,GB,495,QuantileTransformer_Normal,False,False
0.7373,0.7203,0.7742,0.7525,GB,495,Normalisation,False,False
