F1-Score,Precision,Recall,Accuracy,Model,Num_Features,Preprocessing,Fea_Selection,Dim_Reduction,Var_Threshold,support
0.777425,0.788425,0.769525,0.798975,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,,,0,False,60
0.7774,0.788725,0.769125,0.798975,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,StandardScaler(),,0,False,60
0.7772,0.788275,0.769125,0.7988,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MinMaxScaler(),,0,False,60
0.777375,0.78865,0.769125,0.798975,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,MaxAbsScaler(),,0,False,60
0.77775,0.78905,0.769525,0.79935,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,RobustScaler(),,0,False,60
0.7753,0.7884,0.7654,0.797575,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,PowerTransformer(),,0,False,60
0.77565,0.7877,0.7666,0.79755,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,QuantileTransformer(random_state=27033074),,0,False,60
0.775875,0.7872,0.767425,0.797575,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,"QuantileTransformer(output_distribution='normal', random_state=27033074)",,0,False,60
0.7718,0.72385,0.835075,0.775075,"RandomForestClassifier(n_estimators=500, n_jobs=-1, random_state=27033074)",401,normalize,,0,False,60
0.6857,0.720075,0.75665,0.720525,"MLPClassifier(max_iter=10000, random_state=27033074)",401,,,0,False,60
0.72295,0.744875,0.704975,0.753475,"MLPClassifier(max_iter=10000, random_state=27033074)",401,StandardScaler(),,0,False,60
0.713325,0.72755,0.702875,0.74265,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MinMaxScaler(),,0,False,60
0.7115,0.72285,0.703325,0.740075,"MLPClassifier(max_iter=10000, random_state=27033074)",401,MaxAbsScaler(),,0,False,60
0.7208,0.748675,0.697875,0.75365,"MLPClassifier(max_iter=10000, random_state=27033074)",401,RobustScaler(),,0,False,60
0.738675,0.747225,0.73335,0.76325,"MLPClassifier(max_iter=10000, random_state=27033074)",401,PowerTransformer(),,0,False,60
